sample,zr,tm,rt,TiOx,sph,ap,ep,gt,st,and,ky,sil,amp,cpx,opx
N14,0,0,1,1,0,1,5,8,0,0,0,0,18,162,6
N13,2,1,2,4,3,4,47,13,0,0,0,0,20,121,4
N12,3,0,0,1,0,1,5,3,0,0,0,0,8,184,5
N11,1,0,2,0,0,0,7,27,1,0,0,0,11,158,1
N10,2,0,0,0,4,0,16,28,2,0,1,0,34,126,0
N9,10,2,0,0,9,0,26,80,2,0,0,0,18,56,0
N8,5,0,0,0,2,0,23,46,1,0,0,1,11,113,0
N7,4,0,1,0,0,0,12,19,0,1,0,0,10,155,1
N6,3,1,2,1,2,0,11,12,1,0,0,0,31,139,3
N5,1,2,2,5,12,2,91,43,5,2,0,0,32,10,1
N4,0,2,4,1,4,0,59,54,0,1,0,0,19,54,2
N3,1,0,0,1,1,0,9,21,1,0,0,0,10,157,1
N2,0,0,1,0,3,1,11,18,1,0,0,1,3,170,1
N1,1,1,0,0,0,1,10,24,2,0,0,0,1,163,1
T8,0,1,0,0,2,0,7,1,0,0,0,0,25,162,2
T13,2,0,1,0,0,2,11,1,0,0,0,0,24,154,4
