,Q,KF,P,Lv,Ls,Lm,mica,opaques,FeOx,turbids,zr,tm,rt,TiOx,sph,ap,ep,othLgM,gt,st,and,ky,sil,amp,cpx,opx
N14,45.7358931005,7.2692810226,20.2934095214,14.5385620452,2.1202069649,1.8173202556,0.3028867093,0.726512,0.069191619,0.1383832381,0,0,0.0345958095,0.0345958095,0,0.0345958095,0.1729790476,0,0.2767664762,0,0,0,0,0.6227245714,5.6045211426,0.2075748571
N13,62.4617293082,5.3284887561,8.5847874405,6.2165702155,4.7364344499,4.1443801437,0.5920543062,1.5643567953,0.0284428508,0.0568857016,0.0568857016,0.0284428508,0.0568857016,0.1137714033,0.0853285525,0.1137714033,1.3368139887,0,0.3697570607,0,0,0,0,0.5688570165,3.4415849497,0.1137714033
N12,54.7306255175,9.7298889809,13.6826563794,8.2095938276,1.2162361227,0.9121770921,0,0.71992638,0,0,0.1542699386,0,0,0.0514233129,0,0.0514233129,0.2571165643,0,0.1542699386,0,0,0,0,0.4113865029,9.4618895658,0.2571165643
N11,64.8633560724,8.0233361461,9.7633367561,7.8300027449,0.2900001017,0.5800002034,0,1.0074259891,0,0.4168659265,0.0347388272,0,0.0694776544,0,0,0,0.2431717905,0,0.9379483347,0.0347388272,0,0,0,0.3821270993,5.4887346993,0.0347388272
N10,62.3034120018,17.7242465178,9.6677708279,3.2225902759,0.805647569,0.8056475691,0,0.9641820727,0.0209604798,0.0209604798,0.0419209597,0,0,0,0.0838419194,0,0.3353676775,0,0.5868934356,0.0419209597,0,0.0209604798,0,0.7126563146,2.64102046,0
N9,67.2070044704,14.3412436318,6.7488205326,2.5308076997,0.2812008555,0,0,4.4668338156,0,0.0854896424,0.213724106,0.0427448212,0,0,0.1923516954,0,0.5556826756,0,1.7097928481,0.0427448212,0,0,0,0.3847033908,1.1968549936,0
N8,53.039148751,10.0575130011,7.4956936517,4.5543455099,0,0.2846465944,0,11.7777560915,0,0,0.3166063465,0,0,0,0.1266425386,0,1.4563891941,0,2.9127783882,0.0633212693,0,0,0.0633212693,0.6965339624,7.1553034319,0
N7,72.7032584378,10.0607642225,7.4981167318,5.9795108115,1.1389544403,0.2847386101,0,0.312444769,0.0086790214,0.2516916195,0.0347160854,0,0.0086790214,0,0,0,0.1041482563,0,0.1649014059,0,0.0086790214,0,0,0.0867902136,1.345248311,0.0086790214
N6,70.2951772414,5.1020693159,9.9206903365,6.2358624972,1.9841380673,2.2675863626,0,0.6863688293,0.0610105626,0.305052813,0.045757922,0.0152526407,0.0305052813,0.0152526407,0.0305052813,0,0.1677790472,0,0.1830316878,0.0152526407,0,0,0,0.4728318602,2.1201170505,0.045757922
N5,76.6312068397,9.5550133217,7.5484605241,2.5798535968,0.8599511989,1.1466015986,0,0.5692040954,0.0143496831,0.1004477815,0.0047832277,0.0095664554,0.0095664554,0.0239161385,0.0573987323,0.0095664554,0.43527372,0,0.2056787908,0.0239161385,0.0095664554,0,0,0.1530632862,0.0478322769,0.0047832277
N4,78.6132907606,8.0653932424,6.3162718164,3.7897630899,1.1660809507,1.1660809507,0,0.1554787305,0.0186574477,0.0870680891,0,0.0062191492,0.0124382984,0.0031095746,0.0124382984,0,0.183464902,0,0.167917029,0,0.0031095746,0,0,0.0590819176,0.167917029,0.0062191492
N3,60.2061849586,5.2101506214,11.8675653043,12.1570181166,0.8683584369,0.8683584369,0,1.0275042555,0,0.6377612621,0.0354311812,0,0,0.0354311812,0.0354311812,0,0.318880631,0,0.7440548057,0.0354311812,0,0,0,0.3543118123,5.5626954525,0.0354311812
N2,65.3512244212,6.9950724087,12.7444469912,8.0491244155,0.8624061874,0.2874687291,0,0.4501862244,0.0236940118,0.2606341299,0,0,0.0236940118,0,0.0710820354,0.0236940118,0.2606341299,0,0.4264922126,0.0236940118,0,0,0.0236940118,0.0710820354,4.0279820081,0.0236940118
N1,63.8157128744,7.8454099786,10.7156819219,8.6108158302,1.1481087774,0.861081583,0,0.7645402876,0,0,0.0305816115,0.0305816115,0,0,0,0.0305816115,0.305816115,0,0.7339586761,0.061163223,0,0,0,0.0305816115,4.9848026753,0.0305816115
T13,72.3463549493,8.6259115517,8.6259115517,5.0085938042,1.1130208453,0.5565104227,0,0.1537306049,0.051243535,0.0341623567,0.0170811783,0.051243535,0,0,0,0,0.0854058916,0,0.2391364966,0,0,0,0,0.10248707,2.9721250288,0.0170811783
T8,71.5058986649,9.2793914298,10.0981612618,6.5501586564,0.2729232773,0,0,0.0518883871,0.0415107097,0.0103776774,0.0103776774,0,0,0,0,0,0.0518883871,0.0103776774,0.2075535484,0,0,0,0.0103776774,0.1764205161,1.7226944517,0
