,Epidote,Amphibole,Apatite,Garnet,FeTiOxide,Pyroxene,Titanite,TiOxide,Zircon
TAP,1219,332,37,12,184,58,96,24,27
JER,374,976,135,114,158,178,26,22,196
PAL,1008,1187,131,16,269,49,126,10,124
DON,768,1230,89,5,88,95,88,6,49
BUR,687,1227,85,40,97,65,187,5,45
GUC,811,1395,47,63,21,26,133,10,17
COR,1184,1929,42,109,19,45,97,12,5
FRI,1117,1238,69,79,92,72,178,7,74
SEV,1090,1566,49,32,29,28,116,6,24
ACA,1609,707,104,21,120,86,103,9,84
FUN,740,1236,70,42,120,238,78,9,32
AGI,1064,657,123,36,315,33,244,13,59
MAR,1080,31,75,7,589,82,101,28,95
PRO,2417,333,33,4,118,97,28,10,18
GAT,976,723,63,71,104,245,41,17,25
BAD,689,609,81,8,1036,20,112,29,107
RAN,497,477,88,1,799,24,101,11,560
